"Time (s)","Frequency (Hz)","Speed (m/s)"
3.592586561E0,NaN,NaN
3.602586769E0,NaN,NaN
3.612586978E0,NaN,NaN
3.622587186E0,NaN,NaN
3.632587394E0,NaN,NaN
3.642587603E0,NaN,NaN
3.652587811E0,NaN,NaN
3.662588019E0,NaN,NaN
3.672588228E0,NaN,NaN
3.682588436E0,NaN,NaN
3.692588645E0,NaN,NaN
3.702588853E0,NaN,NaN
3.712589061E0,NaN,NaN
3.722589270E0,1.994807393E3,NaN
3.732589478E0,NaN,-8.850410643E-1
3.742589686E0,NaN,NaN
3.752589895E0,NaN,NaN
3.762590103E0,NaN,NaN
3.772590311E0,NaN,NaN
3.782590520E0,NaN,NaN
3.792590728E0,NaN,NaN
3.802590936E0,NaN,NaN
3.812591145E0,NaN,NaN
3.822591353E0,NaN,NaN
3.832591561E0,NaN,NaN
3.842591770E0,NaN,NaN
3.841301665E0,2.008645607E3,NaN
3.851301873E0,NaN,1.463427130E0
3.861302082E0,NaN,NaN
3.871302290E0,NaN,NaN
3.881302498E0,1.996015066E3,NaN
3.891302707E0,2.007125782E3,-6.787912677E-1
3.901302915E0,1.995599842E3,1.207082217E0
3.911303123E0,NaN,-7.496762106E-1
3.921303332E0,NaN,NaN
3.931303540E0,2.000935166E3,NaN
3.941303748E0,NaN,1.589039883E-1
3.951303957E0,2.000975464E3,NaN
3.961304165E0,1.999690261E3,1.657479885E-1
3.971304373E0,NaN,-5.266374617E-2
3.981304582E0,NaN,NaN
3.991304790E0,NaN,NaN
4.001304998E0,1.994237831E3,NaN
4.011305207E0,NaN,-9.823990992E-1
4.021305415E0,2.008929697E3,NaN
4.031305623E0,NaN,1.511300705E0
4.041305832E0,NaN,NaN
4.051306040E0,NaN,NaN
4.061306248E0,NaN,NaN
4.071306457E0,NaN,NaN
4.081306665E0,NaN,NaN
4.091306873E0,NaN,NaN
4.101307082E0,2.008253533E3,NaN
4.111307290E0,NaN,1.397334161E0
4.121307498E0,2.000461656E3,NaN
4.131307707E0,NaN,7.846344642E-2
4.141307915E0,NaN,NaN
4.151308123E0,2.000832066E3,NaN
4.161308332E0,2.001122995E3,1.413923986E-1
4.171308540E0,1.997214948E3,1.908020003E-1
4.181308748E0,NaN,-4.741190384E-1
4.191308957E0,2.002107343E3,NaN
4.201309165E0,2.008867936E3,3.578712009E-1
4.211309373E0,2.009241041E3,1.500894180E0
4.221309582E0,2.008547173E3,1.563751573E0
4.231309790E0,1.999632388E3,1.446836284E0
4.241309999E0,NaN,-6.250546967E-2
4.251310207E0,2.002534486E3,NaN
4.261310415E0,2.005351120E3,4.303173034E-1
