"Time (s)","Frequency (Hz)","Speed (m/s)"
4.210055042E0,9.997819820E2,-7.414228106E-2
4.220055250E0,1.000957364E3,3.251923223E-1
4.230055458E0,1.001524830E3,5.176527503E-1
4.240055667E0,1.003919998E3,1.327595301E0
4.250055875E0,1.006159108E3,2.081277807E0
4.260056084E0,1.007690478E3,2.594807350E0
4.270056292E0,1.008045165E3,2.713525298E0
4.280056500E0,1.005426137E3,1.834929918E0
4.290056709E0,1.003974939E3,1.346128352E0
4.300056917E0,1.002961776E3,1.004029998E0
4.310057125E0,1.001985239E3,6.736438007E-1
4.320057334E0,1.001173437E3,3.985009482E-1
4.330057542E0,1.002179059E3,7.392691666E-1
4.340057750E0,1.003108118E3,1.053485618E0
4.350057959E0,1.003954538E3,1.339246748E0
4.377802292E0,1.003807587E3,1.289669134E0
4.387802500E0,1.005320196E3,1.799293937E0
4.397802708E0,1.005955508E3,2.012884958E0
4.407802917E0,1.005679714E3,1.920196672E0
4.417803125E0,1.005443956E3,1.840923187E0
4.427803333E0,1.004118583E3,1.394574622E0
4.437803542E0,1.003669304E3,1.243002540E0
4.447803750E0,1.003051842E3,1.034469254E0
4.457803958E0,1.000916208E3,3.112256724E-1
4.467804167E0,9.994636150E2,-1.824687888E-1
4.477804375E0,9.991819730E2,-2.783568674E-1
4.487804583E0,9.978417690E2,-7.353856756E-1
4.497804792E0,9.969493075E2,-1.040409421E0
4.507805000E0,9.962866496E2,-1.267244843E0
4.517805208E0,9.958930828E2,-1.402110215E0
4.527805417E0,9.958736012E2,-1.408788829E0
4.537805625E0,9.963638591E2,-1.240799640E0
4.547805833E0,9.964099275E2,-1.225022570E0
4.557806042E0,9.969495434E2,-1.040328732E0
4.567806250E0,9.964089057E2,-1.225372500E0
4.577806458E0,9.969729958E2,-1.032306226E0
4.587806667E0,9.984096241E2,-5.415891258E-1
4.597806875E0,9.987704804E2,-4.185512655E-1
4.607807083E0,9.988436475E2,-3.936150108E-1
4.617807292E0,9.972174016E2,-9.487233728E-1
4.627807500E0,9.959999331E2,-1.365484776E0
4.637807708E0,9.966268339E2,-1.150758183E0
4.647807917E0,9.965010747E2,-1.193811673E0
4.657808125E0,9.953627281E2,-1.584017958E0
4.667808333E0,9.944859172E2,-1.885183200E0
4.677808542E0,非數值,非數值
4.687808750E0,非數值,非數值
4.697808958E0,非數值,非數值
4.707809167E0,非數值,非數值
4.717809375E0,9.946960917E2,-1.812944503E0
