"Time (s)","Frequency (Hz)","Speed (m/s)"
4.026510780E0,9.956956370E2,-7.275334445E-2
4.036510988E0,9.962699771E2,-3.682664904E-1
4.046511196E0,9.981524306E2,-6.588386944E-1
4.056511405E0,9.990481452E2,-1.308618637E0
4.066511613E0,1.001207809E3,-2.338923967E0
4.076511821E0,9.932825738E2,-1.945740742E0
4.086512030E0,NaN,-1.841585630E0
4.096512238E0,NaN,-1.443730414E0
4.106512446E0,9.946462606E2,-1.469810024E0
4.116512655E0,9.942896805E2,-1.272955947E0
4.126512863E0,9.972841408E2,-6.293363481E-1
4.136513071E0,9.985495019E2,-3.239389782E-1
4.146513280E0,9.975588421E2,4.101596410E-1
4.156513488E0,9.942761523E2,-2.299370750E0
4.166513696E0,9.920976765E2,NaN
4.176513905E0,9.924067794E2,NaN
4.186514113E0,9.922258833E2,-1.830069122E0
4.196514321E0,9.919982060E2,-1.952658949E0
4.206514530E0,9.935488798E2,-9.259067529E-1
4.216514738E0,NaN,-4.938857455E-1
4.226514946E0,NaN,-8.320247886E-1
4.236515155E0,9.924220947E2,-1.957311574E0
4.246515363E0,9.944130742E2,-2.708191007E0
4.256515571E0,9.928414664E2,-2.601448367E0
4.266515780E0,9.956766373E2,-2.663909211E0
4.276515988E0,9.959016880E2,-2.742555321E0
4.286516197E0,9.984306119E2,-2.207622496E0
4.296516405E0,1.000348647E3,NaN
4.306516613E0,9.977895213E2,NaN
4.316516822E0,9.969022928E2,-2.596161278E0
4.326517030E0,9.996730061E2,-1.910227054E0
4.336517238E0,9.990766905E2,-2.451450204E0
4.346517447E0,9.937533951E2,-1.476325997E0
4.356517655E0,NaN,-1.399160275E0
4.366517863E0,NaN,-5.344306795E-1
4.376518072E0,9.945486437E2,1.184986904E-1
4.386518280E0,9.950400662E2,-7.532277617E-1
4.396518488E0,9.946417544E2,-1.056493167E0
4.406518697E0,1.000016759E3,-1.112142928E-1
4.416518905E0,1.003394244E3,-3.142153587E-1
4.426519113E0,1.003182066E3,-2.137195869E0
4.436519322E0,NaN,NaN
4.457314947E0,NaN,NaN
4.467315155E0,1.005451523E3,-1.863620410E0
4.477315364E0,1.001892256E3,-1.694783505E0
4.487315572E0,9.958440216E2,-1.831617773E0
4.497315780E0,9.959764597E2,5.697991065E-3
4.507315989E0,1.005757765E3,1.150138972E0
4.517316197E0,NaN,1.078470573E0
4.527316405E0,NaN,NaN
4.537316614E0,NaN,NaN
4.547316822E0,NaN,1.843467975E0
4.557317030E0,1.002023403E3,6.421520540E-1
4.567317239E0,9.955464507E2,-1.418929694E0
4.577317447E0,9.980630824E2,-1.373530145E0
4.587317655E0,1.001070319E3,1.946432953E0
4.597317864E0,1.004967339E3,NaN
4.607318072E0,1.004394138E3,3.520829243E0
4.617318280E0,NaN,NaN
4.627318489E0,NaN,NaN
4.637318697E0,1.003493215E3,NaN
4.647318905E0,9.984201022E2,6.865679077E-1
4.657319114E0,1.000723400E3,-1.520980513E0
4.667319322E0,1.000402680E3,-6.598300242E-1
4.677319530E0,9.984049377E2,3.635192964E-1
4.687319739E0,9.969098873E2,1.680547445E0
4.697319947E0,NaN,1.487470914E0
4.707320155E0,NaN,NaN
4.717320364E0,NaN,NaN
4.727320572E0,NaN,1.183558675E0
4.737320780E0,9.936900117E2,-5.380152697E-1
4.747320989E0,NaN,2.457783196E-1
4.757321197E0,NaN,1.368561485E-1
4.767321405E0,NaN,-5.431875907E-1
4.777321614E0,1.000580503E3,-1.053894957E0
4.787321822E0,1.001951980E3,NaN
4.797322030E0,1.002532633E3,NaN
4.807322239E0,1.001616696E3,NaN
4.817322447E0,1.005563848E3,NaN
4.827322655E0,1.009357196E3,-2.159019404E0
4.837322864E0,1.008050957E3,NaN
4.847323072E0,1.006507120E3,NaN
4.857323281E0,1.002452716E3,NaN
4.867323489E0,1.000911516E3,1.972564791E-1
4.877323697E0,1.000760226E3,6.623802723E-1
4.887323906E0,1.003025533E3,8.589198404E-1
4.897324114E0,1.008054754E3,5.487893756E-1
4.907324322E0,1.008878732E3,1.881241247E0
4.917324531E0,1.009338563E3,3.151953326E0
4.927324739E0,NaN,2.715463295E0
4.937324947E0,1.007517909E3,2.198117292E0
4.947325156E0,1.005194482E3,8.318830447E-1
4.957325364E0,1.004656982E3,3.096331942E-1
4.967325572E0,1.003313437E3,2.582803656E-1
4.977325781E0,1.004977031E3,1.025578311E0
4.987325989E0,1.007442328E3,2.716733762E0
4.997326197E0,1.007459011E3,2.992201840E0
5.007326406E0,1.007277498E3,3.145734860E0
5.027189842E0,1.006863472E3,NaN
5.037190050E0,1.006976988E3,2.537016044E0
5.047190259E0,1.006229868E3,1.756997228E0
5.057190467E0,1.003910916E3,1.576034297E0
5.067190675E0,1.003378188E3,1.122848210E0
5.077190884E0,1.007365858E3,1.683810248E0
5.087191092E0,1.008881685E3,2.511698547E0
5.097191300E0,NaN,2.517287119E0
5.107191509E0,NaN,2.456472457E0
5.117191717E0,1.007250643E3,2.317673312E0
5.127191925E0,1.004323802E3,2.355739907E0
5.137192134E0,1.006537528E3,2.105040830E0
5.147192342E0,1.005800759E3,1.324531470E0
5.157192550E0,1.004045208E3,1.144717003E0
5.167192759E0,1.003133156E3,2.486079646E0
5.177192967E0,1.000506651E3,2.993188360E0
5.187193175E0,9.995855374E2,NaN
5.197193384E0,1.003088364E3,NaN
5.207193592E0,1.003227248E3,2.447472996E0
5.217193800E0,9.983136944E2,1.463763609E0
5.227194009E0,9.995854766E2,2.208322649E0
5.237194217E0,1.002919224E3,1.960883564E0
5.247194425E0,1.001504088E3,1.369829437E0
5.257194634E0,9.987462859E2,1.061945899E0
5.267194842E0,9.988453797E2,1.721742242E-1
5.277195050E0,1.002074339E3,-1.409757285E-1
5.287195259E0,9.961490971E2,1.046810844E0
5.297195467E0,9.922883159E2,1.093734543E0
5.307195675E0,9.948849136E2,-5.743123670E-1
5.317195884E0,9.919641353E2,-1.409963989E-1
5.327196092E0,9.939717660E2,9.896471574E-1
5.337196300E0,9.950166328E2,5.106219546E-1
5.347196509E0,9.942853006E2,-4.267978891E-1
5.357196717E0,9.979497031E2,-3.930246870E-1
5.367196925E0,1.000248734E3,7.038153791E-1
5.377197134E0,9.972292231E2,-1.314368504E0
5.387197342E0,9.936229108E2,-2.642349546E0
5.397197550E0,NaN,-1.748070903E0
5.407197759E0,NaN,-2.754327400E0
5.417197967E0,NaN,-2.062029951E0
5.427198176E0,NaN,-1.702830680E0
5.437198384E0,9.956512303E2,-1.954165264E0
5.447198592E0,9.998575019E2,-6.985331350E-1
5.457198801E0,1.000184521E3,8.454863143E-2
5.467199009E0,9.979107084E2,-9.446816436E-1
5.477199217E0,9.962019133E2,-2.182125924E0
5.487199426E0,NaN,NaN
5.497199634E0,NaN,NaN
5.507199842E0,9.923200362E2,NaN
5.517200051E0,9.931269146E2,NaN
